4563 マザーズ アンジェス(株)（医薬品）,,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
2019/3/13,1186,1237,1151,1217,22701300,1217
2019/3/14,1247,1285,1114,1198,27236300,1198
2019/3/15,1140,1184,1080,1090,14166900,1090
2019/3/18,1081,1144,1072,1123,7959100,1123
2019/3/19,1136,1142,1086,1117,5655600,1117
2019/3/20,1101,1136,1095,1129,4920000,1129
2019/3/22,1115,1144,1095,1124,4672800,1124
2019/3/25,1053,1104,1050,1069,4373300,1069
2019/3/26,1089,1118,1070,1117,4194000,1117
2019/3/27,1300,1350,1206,1223,26693900,1223
2019/3/28,1180,1193,1095,1110,10407900,1110
2019/3/29,1120,1134,1003,1045,10610600,1045
2019/4/1,1038,1039,998,1002,4949900,1002
2019/4/2,942,945,798,810,18175900,810
2019/4/3,855,912,842,896,13073000,896
2019/4/4,907,909,823,831,10260600,831
2019/4/5,801,857,782,828,9573900,828
2019/4/8,819,830,801,814,4488900,814
2019/4/9,844,868,826,839,8191600,839
2019/4/10,824,857,823,836,3480600,836
2019/4/11,830,837,807,814,3615500,814
2019/4/12,806,831,799,813,4232200,813
2019/4/15,810,820,801,820,2563400,820
2019/4/16,820,823,806,812,2230500,812
2019/4/17,804,869,803,831,7919100,831
2019/4/18,828,849,812,816,4408000,816
2019/4/19,817,862,817,862,5908500,862
2019/4/22,844,955,837,890,13222500,890
2019/4/23,834,885,823,861,16198800,861
2019/4/24,868,872,832,837,4117300,837
2019/4/25,838,854,834,851,2823400,851
2019/4/26,850,872,838,848,3486000,848
2019/5/7,840,900,840,884,6692600,884
2019/5/8,875,876,841,845,4569500,845
2019/5/9,852,855,807,808,3267400,808
2019/5/10,806,838,806,830,2798100,830
2019/5/13,820,854,811,838,2514100,838
2019/5/14,793,817,688,688,3953800,688
2019/5/15,738,788,689,775,11826000,775
2019/5/16,772,781,742,758,4817600,758
2019/5/17,760,773,753,758,2208000,758
2019/5/20,749,756,695,697,5024000,697
2019/5/21,690,712,676,681,3632500,681
2019/5/22,675,713,674,702,3335400,702
2019/5/23,700,702,664,670,3129000,670
2019/5/24,650,677,645,670,2714000,670
2019/5/27,662,682,653,677,2049300,677
2019/5/28,681,749,673,732,9776800,732
2019/5/29,747,761,727,746,5129200,746
2019/5/30,743,744,701,710,2977800,710
2019/5/31,705,721,703,709,1899700,709
2019/6/3,690,693,657,657,2292300,657
2019/6/4,681,697,671,687,2126400,687
2019/6/5,706,707,684,688,1244700,688
2019/6/6,683,696,674,681,1150700,681
2019/6/7,677,687,675,685,910200,685
2019/6/10,685,726,685,698,2774400,698
2019/6/11,694,721,689,720,1643600,720
2019/6/12,709,721,700,704,1337900,704
2019/6/13,705,716,699,700,1055600,700
2019/6/14,709,725,700,711,1704300,711
2019/6/17,715,727,707,727,1401400,727
2019/6/18,724,739,705,705,1780100,705
2019/6/19,710,725,710,710,1304300,710
2019/6/20,711,718,707,717,903600,717
2019/6/21,718,721,698,704,1516300,704
2019/6/24,704,712,700,705,785300,705
2019/6/25,705,733,699,712,2217700,712
2019/6/26,707,730,699,716,1943700,716
2019/6/27,717,721,705,707,1064300,707
2019/6/28,704,723,701,716,1392900,716
2019/7/1,722,735,715,715,1718700,715
2019/7/2,721,722,708,712,1169700,712
2019/7/3,703,710,700,704,1648700,704
2019/7/4,703,707,700,701,925800,701
2019/7/5,703,703,679,687,2369100,687
2019/7/8,690,690,666,666,1655000,666
2019/7/9,664,667,642,648,2691600,648
2019/7/10,645,678,644,678,2140900,678
2019/7/11,680,682,660,666,1405700,666
2019/7/12,660,662,649,651,1167900,651
2019/7/16,642,656,633,651,1416500,651
2019/7/17,649,652,641,650,785300,650
2019/7/18,644,672,641,642,1621800,642
2019/7/19,642,660,640,657,1397400,657
2019/7/22,680,692,660,662,2392400,662
2019/7/23,671,671,650,655,1155200,655
2019/7/24,655,656,645,653,839600,653
2019/7/25,653,654,644,650,783300,650
2019/7/26,648,651,640,642,1020700,642
2019/7/29,640,642,621,631,1451600,631
2019/7/30,619,677,617,676,3460900,676
2019/7/31,668,690,648,686,2809900,686
2019/8/1,668,715,668,709,3272800,709
2019/8/2,710,710,684,688,2329700,688
2019/8/5,681,704,658,663,2895300,663
2019/8/6,633,671,631,664,1992400,664
2019/8/7,666,675,657,658,860100,658
2019/8/8,657,678,652,676,1050100,676
2019/8/9,680,693,675,679,1015700,679
2019/8/13,691,702,683,685,1545900,685
2019/8/14,695,696,682,688,817400,688
2019/8/15,670,689,663,685,1200400,685
2019/8/16,679,734,678,725,4105800,725
2019/8/19,750,807,734,805,5914300,805
2019/8/20,811,848,801,830,6991100,830
2019/8/21,816,832,801,824,3655300,824
2019/8/22,834,853,818,828,3746400,828
2019/8/23,837,865,824,865,3862000,865
2019/8/26,900,965,883,930,14018200,930
2019/8/27,840,856,780,780,9513500,780
2019/8/28,735,755,640,660,27047800,660
2019/8/29,650,657,560,560,18807400,560
2019/8/30,580,629,573,607,28317200,607
2019/9/2,617,624,584,586,9146600,586
2019/9/3,584,604,563,598,5364700,598
2019/9/4,607,610,587,594,4523800,594
2019/9/5,590,594,582,588,3238700,588
2019/9/6,593,607,587,590,3302600,590
2019/9/9,590,595,540,571,4214000,571
2019/9/10,627,628,596,596,8791500,596
2019/9/11,590,611,584,608,3095000,608
2019/9/12,611,620,606,610,2689400,610
2019/9/13,604,617,604,609,1960600,609
2019/9/17,605,627,599,617,3487000,617
2019/9/18,617,618,601,606,2149600,606
2019/9/19,608,614,603,608,1613200,608
2019/9/20,603,613,596,608,2242800,608
2019/9/24,610,623,607,613,2793600,613
2019/9/25,615,646,610,641,4485000,641
2019/9/26,654,713,643,662,12909100,662
2019/9/27,657,707,656,705,7742100,705
2019/9/30,700,721,664,671,7483000,671
2019/10/1,673,682,656,669,2862400,669
2019/10/2,659,668,651,655,2098600,655
2019/10/3,645,647,635,640,2296400,640
2019/10/4,645,674,644,670,2892600,670
2019/10/7,685,686,664,669,1974800,669
2019/10/8,677,692,669,676,2719400,676
2019/10/9,670,671,661,661,1237000,661
2019/10/10,660,660,636,636,1742500,636
2019/10/11,628,643,625,628,1131100,628
2019/10/15,626,648,625,645,1175800,645
2019/10/16,646,654,634,638,1274200,638
2019/10/17,634,648,634,645,1093400,645
2019/10/18,649,666,642,644,2104100,644
2019/10/21,646,657,646,650,1222100,650
2019/10/23,660,677,650,666,2349400,666
2019/10/24,668,670,654,664,1737500,664
2019/10/25,664,667,652,667,1624200,667
2019/10/28,662,664,646,650,2213400,650
2019/10/29,648,690,648,684,4768200,684
2019/10/30,681,692,670,684,2383400,684
2019/10/31,683,719,682,708,5541600,708
2019/11/1,700,718,698,715,3023300,715
2019/11/5,721,729,708,711,3394100,711
2019/11/6,712,720,701,719,2057400,719
2019/11/7,722,722,713,718,1179200,718
2019/11/8,714,720,708,716,1536100,716
2019/11/11,710,724,708,718,1711400,718
2019/11/12,714,718,694,696,2285300,696
2019/11/13,690,708,684,706,1898900,706
2019/11/14,706,714,697,699,1612300,699
2019/11/15,697,715,696,715,1776100,715
2019/11/18,720,769,719,768,6164900,768
2019/11/19,789,792,756,768,4949200,768
2019/11/20,768,785,762,769,2873100,769
2019/11/21,770,771,705,737,4629300,737
2019/11/22,738,770,737,770,4080900,770
2019/11/25,750,764,716,723,5715000,723
2019/11/26,727,741,712,741,3410900,741
2019/11/27,735,742,728,730,1295500,730
2019/11/28,730,737,722,724,1167800,724
2019/11/29,720,729,709,710,1890100,710
2019/12/2,702,704,692,703,2117000,703
2019/12/3,700,702,691,693,1142800,693
2019/12/4,688,713,680,710,1926000,710
2019/12/5,714,715,693,694,1228600,694
2019/12/6,695,709,693,709,1188300,709
2019/12/9,709,709,697,697,1058500,697
2019/12/10,700,708,694,706,832500,706
2019/12/11,706,718,700,703,1881600,703
2019/12/12,701,705,695,702,605100,702
2019/12/13,704,704,686,689,1706400,689
2019/12/16,669,683,663,664,1660800,664
2019/12/17,664,674,651,667,1488000,667
2019/12/18,669,672,656,661,1016600,661
2019/12/19,658,667,650,653,1252200,653
2019/12/20,651,653,643,651,1080800,651
2019/12/23,646,650,619,622,1802800,622
2019/12/24,629,668,625,660,2665100,660
2019/12/25,658,669,650,652,1719500,652
2019/12/26,648,657,643,655,1377200,655
2019/12/27,655,665,649,658,867400,658
2019/12/30,651,652,637,639,1122300,639
2020/1/6,629,638,620,620,1205700,620
2020/1/7,623,633,623,632,639800,632
2020/1/8,630,631,597,610,1855000,610
2020/1/9,623,631,618,619,792800,619
2020/1/10,624,632,622,629,567400,629
2020/1/14,629,633,612,616,880200,616
2020/1/15,612,628,612,622,566100,622
2020/1/16,623,627,610,612,753900,612
2020/1/17,612,616,602,612,831500,612
2020/1/20,615,619,610,611,499300,611
2020/1/21,611,616,609,614,457900,614
2020/1/22,610,617,608,610,492000,610
2020/1/23,609,627,609,617,932300,617
2020/1/24,616,620,596,601,1540300,601
2020/1/27,593,597,586,588,1122900,588
2020/1/28,576,598,573,597,1344100,597
2020/1/29,603,609,586,590,1039800,590
2020/1/30,600,608,559,565,2417400,565
2020/1/31,565,592,561,591,1791100,591
2020/2/3,573,614,573,609,2278100,609
2020/2/4,610,616,590,595,2503500,595
2020/2/5,600,602,583,595,1076600,595
2020/2/6,595,630,588,601,4049200,601
2020/2/7,600,610,593,607,1504900,607
2020/2/10,600,601,590,593,1169900,593
2020/2/12,598,599,586,596,885700,596
2020/2/13,596,597,588,595,806300,595
2020/2/14,590,591,580,584,1034800,584
2020/2/17,575,579,562,562,1277200,562
2020/2/18,462,462,462,462,517300,462
2020/2/19,454,497,453,486,9253200,486
2020/2/20,486,491,451,460,3187700,460
2020/2/21,465,479,461,473,1665500,473
2020/2/25,442,463,442,452,2141100,452
2020/2/26,450,454,434,441,2236300,441
2020/2/27,431,439,409,412,2930300,412
2020/2/28,387,405,375,388,3779100,388
2020/3/2,399,428,395,420,2610200,420
2020/3/3,428,435,409,413,1709600,413
2020/3/4,400,435,400,427,1711900,427
2020/3/5,435,507,429,507,18596000,507
2020/3/6,607,607,607,607,1116800,607
2020/3/9,604,605,507,532,25828900,532
2020/3/10,512,596,480,549,14424300,549
2020/3/11,539,565,495,502,6917300,502
2020/3/12,496,562,481,518,11715600,518
2020/3/13,516,597,505,589,19588300,589
2020/3/16,639,689,613,676,18710200,676
2020/3/17,718,750,686,724,20500300,724
2020/3/18,661,689,574,618,15455200,618
2020/3/19,600,607,537,566,7074100,566
2020/3/23,600,608,573,580,5589200,580
2020/3/24,670,680,662,680,16938000,680
2020/3/25,728,750,670,716,23439800,716
2020/3/26,710,777,676,718,21158400,718
2020/3/27,742,750,697,715,11658900,715
2020/3/30,681,725,681,700,7037400,700
2020/3/31,705,722,687,691,6885800,691
2020/4/1,716,734,701,703,11399500,703
2020/4/2,729,738,707,716,8171600,716
2020/4/3,731,731,668,690,8191100,690
2020/4/6,675,683,636,655,5963500,655
2020/4/7,655,709,645,707,6333500,707
2020/4/8,710,715,684,697,6489100,697
2020/4/9,685,709,671,709,5339400,709
2020/4/10,697,729,694,729,6909000,729
2020/4/13,715,761,711,758,10275200,758
2020/4/14,850,908,838,908,37292100,908
2020/4/15,894,929,855,899,31460400,899
2020/4/16,876,899,865,890,12668400,890
2020/4/17,909,924,883,895,11135100,895
2020/4/20,920,930,904,915,11375900,915
2020/4/21,921,1021,916,982,43419200,982
2020/4/22,973,1013,963,993,20935300,993
2020/4/23,999,1034,970,1032,20657000,1032
2020/4/24,1033,1235,1021,1103,76209000,1103
2020/4/27,1130,1203,1121,1167,38307300,1167
2020/4/28,1118,1220,1115,1209,37004400,1209
2020/4/30,1311,1494,1304,1489,72671300,1489
2020/5/1,1599,1680,1486,1623,62463800,1623
2020/5/7,1783,2023,1716,2023,52389200,2023
2020/5/8,2223,2455,1523,1523,91134600,1523
2020/5/11,1600,1649,1200,1499,80160300,1499
2020/5/12,1469,1520,1320,1348,32024200,1348
2020/5/13,1258,1429,1253,1352,34577800,1352
2020/5/14,1370,1408,1323,1346,15910100,1346
2020/5/15,1400,1442,1362,1429,20271300,1429
2020/5/18,1500,1637,1477,1629,28174800,1629
2020/5/19,1710,1720,1565,1604,30348100,1604
2020/5/20,1552,1593,1468,1565,18031600,1565
2020/5/21,1542,1780,1521,1758,37776100,1758
2020/5/22,1837,1894,1768,1780,35971100,1780
2020/5/25,1860,1961,1820,1933,38374500,1933
2020/5/26,2113,2309,1860,2136,71547400,2136
2020/5/27,2080,2148,1991,2070,28838800,2070
2020/5/28,2010,2070,1881,1983,37179500,1983
2020/5/29,2022,2127,2000,2114,25036600,2114
2020/6/1,2120,2134,2030,2055,16471200,2055
2020/6/2,1998,2113,1969,2100,18104300,2100
2020/6/3,2080,2150,2062,2124,15434900,2124
2020/6/4,2128,2142,2070,2083,9969300,2083
2020/6/5,2070,2081,2015,2016,9392500,2016
2020/6/8,1992,2071,1947,2021,12368100,2021
2020/6/9,2002,2146,1978,2135,14713400,2135
2020/6/10,2104,2285,2084,2270,25877200,2270
2020/6/11,2304,2360,2149,2181,26148300,2181
2020/6/12,2125,2291,2080,2185,21006800,2185
2020/6/15,2148,2214,1986,2043,14466700,2043
2020/6/16,2116,2160,2051,2081,8016700,2081
